"","ea_number","Female","Male"
"1",101001,48,66
"2",101003,16,26
"3",101004,42,43
"4",101005,66,77
"5",102001,59,82
"6",103001,87,64
"7",103002,56,52
"8",103003,21,19
"9",103004,39,38
"10",103005,40,43
"11",104001,88,81
"12",104002,179,167
"13",104003,25,33
"14",104005,21,27
"15",104006,53,50
"16",104007,26,32
"17",105001,33,51
"18",105002,31,51
"19",105004,53,53
"20",105005,59,59
"21",105006,39,53
"22",105007,104,105
"23",105008,73,46
"24",105009,71,47
"25",107001,6,3
"26",107002,47,54
"27",107003,67,59
"28",107004,26,31
"29",201001,67,83
"30",201002,35,39
"31",201003,57,65
"32",201004,35,46
"33",201006,4,7
"34",202001,127,142
"35",202002,24,24
"36",202003,71,103
"37",202004,11,9
"38",202005,65,79
"39",202006,110,151
"40",202007,11,13
"41",202008,35,36
"42",202009,52,52
"43",202010,78,69
"44",202011,38,49
"45",202013,49,79
"46",202014,46,66
"47",202015,23,18
"48",203001,2,3
"49",203002,48,48
"50",203003,82,74
"51",203004,43,60
"52",203005,18,24
"53",203006,48,51
"54",203007,11,15
"55",203008,8,16
"56",203010,35,42
"57",203011,25,26
"58",203012,2,3
"59",203013,45,43
"60",203014,35,21
"61",204001,60,47
"62",204002,85,121
"63",204003,45,48
"64",204004,73,60
"65",204005,28,23
"66",204006,38,24
"67",204007,80,109
"68",204008,9,10
"69",204009,27,33
"70",204010,30,33
"71",204011,10,21
"72",204013,42,47
"73",204014,38,44
"74",204015,26,18
"75",204016,74,84
"76",204018,103,110
"77",204019,36,40
"78",204021,52,45
"79",204022,105,104
"80",204023,62,75
"81",204024,46,73
"82",204025,43,53
"83",204026,27,35
"84",204028,10,14
"85",204029,28,21
"86",205001,22,23
"87",205003,56,58
"88",205004,51,56
"89",205005,96,94
"90",205006,18,21
"91",205007,66,79
"92",205009,85,96
"93",205010,65,72
"94",205011,45,33
"95",205012,2,3
"96",205013,58,61
"97",205014,22,29
"98",205017,95,108
"99",205018,4,11
"100",205019,51,64
"101",205020,81,87
"102",206001,38,42
"103",206002,68,95
"104",206003,49,50
"105",206005,73,95
"106",206006,59,60
"107",206007,64,53
"108",206008,94,88
"109",206009,76,91
"110",206010,16,21
"111",206011,65,78
"112",206012,75,75
"113",206013,145,141
"114",206014,35,43
"115",206016,2,2
"116",206017,26,15
"117",206018,109,121
"118",207001,9,11
"119",207002,44,38
"120",207003,62,69
"121",207004,71,83
"122",207005,5,4
"123",207006,1,4
"124",207007,102,87
"125",207008,66,88
"126",207009,56,55
"127",207010,72,66
"128",207011,17,24
"129",207012,20,25
"130",207013,97,87
"131",207015,12,10
"132",207016,3,6
"133",207017,34,47
"134",208001,59,70
"135",208002,130,138
"136",208003,109,81
"137",208004,63,67
"138",208005,35,48
"139",208006,7,4
"140",208007,75,82
"141",208008,14,12
"142",208009,150,161
"143",208010,16,16
"144",208011,10,14
"145",208012,35,40
"146",208013,58,50
"147",208014,140,138
"148",208015,31,28
"149",208016,79,100
"150",208017,59,70
"151",208018,20,29
"152",208019,41,39
"153",208020,22,20
"154",208021,12,22
"155",208022,21,13
"156",208023,20,39
"157",208024,78,81
"158",208025,25,15
"159",208026,20,17
"160",208027,11,10
"161",208028,11,5
"162",208029,54,59
"163",208030,45,49
"164",208031,66,67
"165",208032,36,37
"166",208033,29,14
"167",208034,59,63
"168",208035,71,79
"169",208036,23,22
"170",208037,46,60
"171",208038,77,62
"172",208039,7,4
"173",208041,82,86
"174",208042,24,29
"175",208043,51,30
"176",208044,94,113
"177",208045,123,153
"178",208046,63,70
"179",208047,30,44
"180",208048,76,88
"181",208049,92,91
"182",209001,37,26
"183",209002,47,49
"184",209003,29,37
"185",209004,27,35
"186",209005,17,29
"187",209006,40,44
"188",209007,56,55
"189",209008,55,58
"190",209009,28,47
"191",210001,31,29
"192",210002,2,0
"193",210005,28,35
"194",210006,66,87
"195",210007,22,24
"196",210008,76,86
"197",210009,32,23
"198",210010,33,43
"199",301001,30,40
"200",301002,45,43
"201",301003,22,20
"202",301004,52,64
"203",301005,43,58
"204",301006,24,27
"205",301007,23,35
"206",301008,19,22
"207",301009,1,2
"208",301010,34,32
"209",301011,19,12
"210",301012,2,2
"211",301013,13,9
"212",301014,6,12
"213",301015,7,5
"214",301016,3,3
"215",301017,11,11
"216",302001,38,31
"217",302002,21,20
"218",302003,22,34
"219",302004,12,16
"220",302005,22,37
"221",302006,21,33
"222",302007,47,42
"223",302008,37,34
"224",302009,20,21
"225",302010,11,11
"226",302011,34,24
"227",302012,23,29
"228",302013,14,12
"229",302014,10,14
"230",302015,7,9
"231",303001,99,112
"232",303002,11,16
"233",303003,9,15
"234",303004,39,53
"235",303005,46,48
"236",303006,42,52
"237",303007,23,33
"238",303008,25,31
"239",304001,34,48
"240",304002,47,38
"241",304003,8,2
"242",304004,36,46
"243",304005,7,9
"244",304006,48,49
"245",305001,62,79
"246",305002,98,80
"247",305003,69,73
"248",305004,87,84
"249",305005,57,65
"250",305006,39,33
"251",305007,3,0
"252",306001,75,85
"253",306002,109,119
"254",306003,99,96
"255",307001,79,98
"256",307002,95,97
"257",307003,34,39
"258",307004,44,44
"259",307005,42,44
"260",307006,30,25
"261",307007,28,33
"262",307008,21,20
"263",307009,42,58
"264",307010,32,27
"265",307011,44,56
"266",307012,35,47
"267",307013,25,25
"268",307014,61,73
"269",307015,38,55
"270",307016,25,30
"271",307017,73,98
"272",307018,85,100
"273",307019,43,43
"274",307020,42,44
"275",307021,37,37
"276",308001,19,23
"277",308002,49,32
"278",308003,38,42
"279",308004,43,43
"280",308005,47,47
"281",308006,21,40
"282",308007,16,15
"283",308008,52,50
"284",308009,23,27
"285",308010,14,22
"286",308011,15,27
"287",308012,67,74
"288",309001,28,21
"289",309002,15,18
"290",309003,43,44
"291",309004,7,5
"292",309005,44,47
"293",309006,43,41
"294",309007,22,23
"295",309008,16,21
"296",309010,8,11
"297",309011,14,26
"298",309012,35,37
"299",309013,31,30
"300",309014,51,38
"301",309015,52,43
"302",309016,12,12
"303",309017,16,25
"304",309018,14,19
"305",309019,25,29
"306",309020,16,16
"307",309021,38,39
"308",309022,22,20
"309",310001,56,53
"310",310002,59,50
"311",310003,26,32
"312",310006,48,49
"313",310007,75,76
"314",310008,49,49
"315",310009,73,57
"316",310010,57,65
"317",310011,24,34
"318",310012,45,37
"319",310013,67,44
"320",401001,43,47
"321",401002,48,41
"322",401003,44,56
"323",401004,26,34
"324",401005,13,17
"325",401006,31,30
"326",401007,42,58
"327",401008,56,60
"328",401009,54,41
"329",401010,20,22
"330",401011,39,39
"331",401012,38,52
"332",401013,75,78
"333",401014,2,1
"334",401015,104,99
"335",401016,44,63
"336",401017,107,126
"337",401018,17,15
"338",401019,42,58
"339",402001,102,101
"340",402002,164,164
"341",402003,58,66
"342",402004,30,27
"343",402005,31,22
"344",402006,50,58
"345",402007,43,42
"346",402008,12,6
"347",402009,35,25
"348",402010,39,40
"349",402011,17,9
"350",402012,60,61
"351",402013,32,33
"352",402014,38,33
"353",402015,69,78
"354",402016,3,8
"355",402017,9,7
"356",402018,30,31
"357",402019,10,11
"358",402020,36,40
"359",402021,21,12
"360",402022,46,44
"361",402023,22,36
"362",402024,24,47
"363",402025,7,13
"364",402026,72,61
"365",402027,90,88
"366",402029,9,5
"367",402030,36,52
"368",403001,110,88
"369",403002,21,31
"370",403003,1,0
"371",403004,54,62
"372",403005,22,24
"373",403006,108,104
"374",403007,30,30
"375",403010,128,104
"376",403011,82,71
"377",403013,94,94
"378",403014,49,36
"379",403015,10,9
"380",403018,10,26
"381",403019,31,28
"382",403020,38,37
"383",403021,30,20
"384",403022,35,43
"385",403023,10,9
"386",403024,33,43
"387",403025,83,80
"388",403026,56,49
"389",404001,9,12
"390",404002,20,22
"391",404003,32,20
"392",404004,29,22
"393",404005,59,49
"394",404006,4,3
"395",404007,17,19
"396",404008,58,71
"397",404009,25,35
"398",404010,62,61
"399",404011,8,7
"400",404012,1,5
"401",404013,3,3
"402",404014,21,18
"403",404015,1,10
"404",405001,63,67
"405",405002,69,50
"406",405003,56,70
"407",405004,87,102
"408",405006,86,110
"409",405007,47,67
"410",405008,32,38
"411",405009,65,75
"412",405010,48,55
"413",405011,55,47
"414",405012,58,70
"415",406002,5,6
"416",406003,28,27
"417",406004,101,111
"418",406005,7,4
"419",406006,16,21
"420",406007,12,7
"421",406008,117,123
"422",406009,3,3
"423",406010,24,26
"424",406011,1,8
"425",406012,1,0
"426",406014,39,49
"427",406015,79,82
"428",406016,53,42
"429",406020,78,89
"430",406021,72,66
"431",407001,3,8
"432",407002,29,33
"433",407003,43,37
"434",407004,31,36
"435",407005,40,38
"436",407006,46,37
"437",407007,22,20
"438",407008,1,1
"439",407009,28,25
"440",407010,46,42
"441",407011,10,5
"442",407012,76,72
"443",407013,4,4
"444",407014,18,17
"445",407015,38,31
"446",408001,24,27
"447",408002,71,88
"448",408003,28,43
"449",408004,88,73
"450",408005,16,24
"451",408006,76,65
"452",408007,42,47
"453",409001,13,14
"454",409002,17,24
"455",409003,12,11
"456",409004,28,32
"457",409005,32,32
"458",409006,3,4
"459",409007,33,36
"460",409008,43,40
"461",409009,27,41
"462",409010,9,9
"463",410001,12,24
"464",410002,16,17
"465",410003,18,18
"466",410004,6,7
"467",410005,29,26
"468",410006,11,8
"469",410007,29,31
"470",410008,4,10
"471",410009,15,23
"472",410010,10,14
"473",501001,24,13
"474",501002,118,96
"475",501003,51,51
"476",501004,39,27
"477",501005,46,40
"478",501006,120,98
"479",502001,71,71
"480",502002,48,40
"481",502003,26,39
"482",502004,54,49
"483",503001,66,71
"484",503002,40,58
"485",503003,30,30
"486",503004,83,90
"487",503006,52,59
"488",504001,147,163
"489",504003,71,78
"490",505001,42,29
"491",505002,18,27
"492",505003,50,45
"493",505007,19,18
"494",505008,40,61
"495",505009,27,47
"496",505010,51,52
"497",505011,15,12
"498",506001,41,58
"499",506002,21,24
"500",506003,29,24
"501",506004,22,13
"502",506005,19,26
"503",506006,11,22
"504",507001,8,24
"505",507004,20,20
"506",507005,32,49
"507",507006,11,13
"508",507007,59,62
"509",507008,18,41
"510",507009,6,7
"511",508001,67,74
"512",508003,61,64
"513",508004,26,51
"514",508005,77,85
"515",508006,54,61
"516",509001,38,46
"517",509002,75,77
"518",509003,25,31
"519",510001,51,44
"520",510002,150,117
"521",510004,10,7
"522",510005,55,73
"523",510007,4,12
"524",510008,41,34
"525",510009,56,49
"526",510010,55,70
"527",510011,60,72
"528",511001,103,106
"529",511002,130,119
"530",511003,21,14
"531",511004,4,3
"532",511005,93,89
"533",511006,41,38
"534",511007,6,13
"535",511008,37,62
"536",511009,81,90
"537",512001,4,2
"538",512002,104,92
"539",512004,52,65
"540",512005,34,44
"541",512006,18,23
"542",512007,23,24
"543",512008,51,45
"544",512009,69,61
"545",512010,72,76
"546",512012,67,83
"547",512014,43,36
"548",512015,4,17
"549",512017,231,187
"550",512018,39,54
"551",513001,58,72
"552",513002,124,86
"553",513003,25,25
"554",513004,67,75
"555",513005,51,52
"556",513006,71,75
"557",513007,40,42
"558",513008,63,64
"559",513009,67,61
"560",513010,32,27
"561",513011,69,50
"562",513013,14,14
"563",513014,29,45
"564",513015,10,11
"565",513016,488,449
"566",513017,138,179
"567",513018,8,14
"568",513019,25,26
"569",513020,25,28
"570",513021,72,67
"571",513022,51,56
"572",513023,85,78
"573",513024,43,41
"574",513025,10,7
"575",513026,82,77
"576",513027,24,31
"577",513028,35,52
"578",513029,72,78
"579",513030,1,0
"580",513031,59,64
"581",513032,30,29
"582",513033,58,57
"583",513034,37,49
"584",513035,71,61
"585",513036,61,59
"586",513037,12,11
"587",513038,62,61
"588",513040,15,11
"589",513041,34,33
"590",513042,77,60
"591",513043,55,57
"592",513044,3,0
"593",513045,5,6
"594",513046,37,45
"595",513049,25,45
"596",513050,43,29
"597",513051,32,30
"598",513052,34,35
"599",513053,73,72
"600",513054,48,52
"601",513055,50,41
"602",513056,67,51
"603",513057,5,0
"604",513058,58,64
"605",513059,31,32
"606",513060,45,30
"607",513061,24,35
"608",513062,38,46
"609",513063,99,96
"610",513064,12,14
"611",513065,29,28
"612",513066,34,43
"613",513067,1,1
"614",513068,40,43
"615",513069,16,14
"616",513070,29,30
"617",513071,41,37
"618",513072,42,34
"619",513073,31,37
"620",513074,34,33
"621",513075,52,50
"622",513076,64,43
"623",513077,7,5
"624",513078,20,21
"625",513079,37,49
"626",513080,11,17
"627",513081,51,36
"628",513082,61,62
"629",513083,49,62
"630",513084,55,40
"631",513085,41,53
"632",513086,105,109
"633",513087,67,63
"634",513088,30,35
"635",513089,56,45
"636",513090,32,39
"637",513091,76,73
"638",513092,2,3
"639",513093,60,59
"640",513094,38,38
"641",513095,48,43
"642",513096,46,55
"643",513097,36,35
"644",513098,63,70
"645",513099,97,95
"646",513100,40,45
"647",513101,83,77
"648",513102,88,64
"649",513103,106,93
"650",513104,53,59
"651",513105,68,78
"652",513106,57,63
"653",513107,128,129
"654",513108,89,82
"655",513109,37,33
"656",513110,32,32
"657",513111,27,33
"658",513112,42,60
"659",513113,82,98
"660",513114,44,43
"661",513115,113,141
"662",513116,32,25
"663",513117,106,94
"664",513118,26,28
"665",513119,75,59
"666",513120,58,52
"667",513121,18,25
"668",513122,39,43
"669",513123,187,179
"670",513124,184,165
"671",513125,23,29
"672",513126,99,87
"673",513127,95,95
"674",513128,135,120
"675",513129,55,65
"676",513130,20,43
"677",513131,40,30
"678",513132,27,28
"679",513133,78,67
"680",514001,11,14
"681",514002,32,28
"682",514003,21,21
"683",514004,39,61
"684",514005,24,31
"685",515001,10,13
"686",515002,75,66
"687",515003,16,21
"688",515004,74,65
"689",515005,10,1
"690",515006,45,41
"691",515007,9,14
"692",516001,92,104
"693",516002,62,69
"694",516003,84,89
"695",516004,47,47
"696",516005,52,54
"697",516006,45,44
"698",516007,197,188
"699",516008,199,204
"700",516009,193,185
"701",516010,104,96
"702",516011,78,96
"703",516012,98,95
"704",516013,281,301
"705",516014,7,5
"706",516015,96,115
"707",516016,11,23
"708",517001,37,27
"709",517002,62,46
"710",517003,59,75
"711",517004,149,156
"712",517005,61,65
"713",517006,31,36
"714",517007,79,81
"715",517008,1,0
"716",517009,10,14
"717",517010,57,66
"718",517011,128,123
"719",517012,36,39
"720",517013,76,87
"721",517014,26,28
"722",517015,14,11
"723",517016,225,215
"724",518001,94,104
"725",518002,93,107
"726",518003,15,27
"727",518005,2,1
"728",518006,87,111
"729",518007,9,9
"730",518008,64,66
"731",518009,80,72
"732",518010,58,84
"733",601001,99,124
"734",601002,119,162
"735",601003,63,80
"736",602001,25,32
"737",602002,37,24
"738",602003,25,25
"739",602004,12,16
"740",603001,112,93
"741",604001,79,79
"742",604002,24,31
"743",604003,55,78
"744",604004,70,52
"745",604005,5,7
"746",604006,12,6
"747",604007,13,21
"748",604008,55,59
"749",604009,52,57
"750",604010,39,62
"751",604011,27,26
"752",604012,23,24
"753",604013,54,48
"754",604014,36,35
"755",604015,36,40
"756",604016,26,15
"757",605001,41,46
"758",605002,10,7
"759",605003,68,90
"760",605004,64,64
"761",605005,50,41
"762",605006,25,23
"763",605007,42,56
"764",605008,5,6
"765",605009,73,59
"766",605010,67,83
"767",605011,62,71
"768",605012,89,93
"769",605013,37,31
"770",605014,46,56
"771",605015,41,42
"772",605016,79,74
"773",605017,43,47
"774",605018,16,16
"775",605019,60,68
"776",605020,26,40
"777",605021,73,58
"778",605022,15,31
"779",605023,180,171
"780",605024,16,18
"781",605025,47,46
"782",605026,77,87
"783",605027,78,78
"784",605028,11,23
"785",605029,31,45
"786",605030,72,80
"787",605031,54,53
"788",605032,102,105
"789",606001,33,30
"790",606002,15,32
"791",606003,51,60
"792",606004,79,90
"793",606005,146,157
"794",606006,44,61
"795",606007,41,36
"796",606008,113,117
"797",606009,21,20
"798",606010,116,104
"799",606011,29,26
"800",606012,39,45
"801",606013,67,79
"802",606014,46,60
"803",606015,33,32
"804",606016,62,72
"805",606017,54,47
"806",606018,87,83
"807",607001,71,95
"808",607002,15,12
"809",607003,36,40
"810",607004,88,94
"811",607005,32,23
"812",607006,21,24
"813",607007,111,109
"814",607008,6,7
"815",607009,37,31
"816",607010,11,17
"817",607012,9,15
"818",607013,41,38
"819",607014,69,67
"820",607015,35,32
"821",607016,2,2
"822",607017,14,11
"823",607018,8,4
"824",608001,63,68
"825",608002,65,75
"826",608003,87,92
"827",608004,30,28
"828",608005,46,43
"829",608006,9,11
"830",608007,7,7
"831",608008,76,59
"832",608009,50,94
"833",608010,34,45
"834",608011,25,19
"835",608012,21,25
"836",608013,28,34
"837",608014,15,19
"838",608015,60,74
"839",608016,3,3
"840",608017,6,8
"841",608018,26,32
"842",608019,32,45
"843",608020,17,19
"844",608021,31,28
"845",608022,5,20
"846",608023,8,22
"847",608024,109,91
"848",608025,23,33
"849",608026,35,42
"850",608027,55,66
"851",608028,53,52
"852",608029,47,42
"853",608030,41,50
"854",609001,45,59
"855",609002,127,128
"856",609003,45,58
"857",609004,50,51
"858",610001,108,142
"859",611001,83,75
"860",611002,32,29
"861",611003,95,93
"862",101002,0,2
"863",104004,0,2
"864",105010,0,1
"865",204020,0,1
"866",310004,0,2
"867",510006,0,4
"868",512011,0,2
"869",513012,0,3
"870",611004,0,1
