"","GROUP","POV_Groups","n"
"1","AUSTRALIA","All Other",247
"2","AUSTRALIA","Business",133
"3","AUSTRALIA","Holiday",6212
"4","AUSTRALIA","Visitings Friends and relatives",367
"5","CHINA","All Other",43
"6","CHINA","Business",10
"7","CHINA","Holiday",298
"8","CHINA","Visitings Friends and relatives",28
"9","EUROPE","All Other",50
"10","EUROPE","Business",27
"11","EUROPE","Holiday",862
"12","EUROPE","Visitings Friends and relatives",83
"13","JAPAN","All Other",6
"14","JAPAN","Business",11
"15","JAPAN","Holiday",125
"16","JAPAN","Visitings Friends and relatives",9
"17","NEW CALEDONIA","All Other",57
"18","NEW CALEDONIA","Business",59
"19","NEW CALEDONIA","Holiday",1309
"20","NEW CALEDONIA","Visitings Friends and relatives",255
"21","NEW ZEALAND","All Other",46
"22","NEW ZEALAND","Business",66
"23","NEW ZEALAND","Holiday",1118
"24","NEW ZEALAND","Visitings Friends and relatives",104
"25","NORTH AMERICA","All Other",25
"26","NORTH AMERICA","Business",15
"27","NORTH AMERICA","Holiday",180
"28","NORTH AMERICA","Visitings Friends and relatives",42
"29","OTHER COUNTRIES","All Other",45
"30","OTHER COUNTRIES","Business",29
"31","OTHER COUNTRIES","Holiday",177
"32","OTHER COUNTRIES","Visitings Friends and relatives",9
"33","OTHER PACIFIC COUNTRIES","All Other",213
"34","OTHER PACIFIC COUNTRIES","Business",141
"35","OTHER PACIFIC COUNTRIES","Holiday",173
"36","OTHER PACIFIC COUNTRIES","Visitings Friends and relatives",155
