RESIDENTS BY REGION,Country or Area,COUNTRY.OF.RESIDENCE
OTHER COUNTRIES,Algeria,DZA
OTHER COUNTRIES,Egypt,EGY
OTHER COUNTRIES,Libya,LBY
OTHER COUNTRIES,Morocco,MAR
OTHER COUNTRIES,Sudan,SDN
OTHER COUNTRIES,Tunisia,TUN
OTHER COUNTRIES,Western Sahara,ESH
OTHER COUNTRIES,British Indian Ocean Territory,IOT
OTHER COUNTRIES,Burundi,BDI
OTHER COUNTRIES,Comoros,COM
OTHER COUNTRIES,Djibouti,DJI
OTHER COUNTRIES,Eritrea,ERI
OTHER COUNTRIES,Ethiopia,ETH
OTHER COUNTRIES,French Southern Territories,ATF
OTHER COUNTRIES,Kenya,KEN
OTHER COUNTRIES,Madagascar,MDG
OTHER COUNTRIES,Malawi,MWI
OTHER COUNTRIES,Mauritius,MUS
OTHER COUNTRIES,Mayotte,MYT
OTHER COUNTRIES,Mozambique,MOZ
OTHER COUNTRIES,Réunion,REU
OTHER COUNTRIES,Rwanda,RWA
OTHER COUNTRIES,Seychelles,SYC
OTHER COUNTRIES,Somalia,SOM
OTHER COUNTRIES,South Sudan,SSD
OTHER COUNTRIES,Uganda,UGA
OTHER COUNTRIES,United Republic of Tanzania,TZA
OTHER COUNTRIES,Zambia,ZMB
OTHER COUNTRIES,Zimbabwe,ZWE
OTHER COUNTRIES,Angola,AGO
OTHER COUNTRIES,Cameroon,CMR
OTHER COUNTRIES,Central African Republic,CAF
OTHER COUNTRIES,Chad,TCD
OTHER COUNTRIES,Congo,COG
OTHER COUNTRIES,Democratic Republic of the Congo,COD
OTHER COUNTRIES,Equatorial Guinea,GNQ
OTHER COUNTRIES,Gabon,GAB
OTHER COUNTRIES,Sao Tome and Principe,STP
OTHER COUNTRIES,Botswana,BWA
OTHER COUNTRIES,Eswatini,SWZ
OTHER COUNTRIES,Lesotho,LSO
OTHER COUNTRIES,Namibia,NAM
OTHER COUNTRIES,South Africa,ZAF
OTHER COUNTRIES,Benin,BEN
OTHER COUNTRIES,Burkina Faso,BFA
OTHER COUNTRIES,Cabo Verde,CPV
OTHER COUNTRIES,Côte d’Ivoire,CIV
OTHER COUNTRIES,Gambia,GMB
OTHER COUNTRIES,Ghana,GHA
OTHER COUNTRIES,Guinea,GIN
