IslandName,OuterIsland_LOS
1. GAUA,2
1. GAUA,3
1. GAUA,5
1. GAUA,2
1. GAUA,2
1. GAUA,6
1. GAUA,4
1. GAUA,3
1. GAUA,2
3. KWAKEA,5
3. KWAKEA,0
3. KWAKEA,5
10. MOTALAVA,5
10. MOTALAVA,5
10. MOTALAVA,0
10. MOTALAVA,0
10. MOTALAVA,5
11. RAH,4
11. RAH,2
11. RAH,4
11. RAH,10
11. RAH,2
11. RAH,5
15. UREPARAPARA,2
16. VANUALAVA,0
16. VANUALAVA,2
16. VANUALAVA,0
18. AORE,3
18. AORE,4
18. AORE,10
18. AORE,10
18. AORE,6
18. AORE,6
18. AORE,4
18. AORE,10
18. AORE,6
18. AORE,10
18. AORE,6
18. AORE,0
18. AORE,3
18. AORE,8
18. AORE,2
18. AORE,4
18. AORE,0
18. AORE,4
18. AORE,4
18. AORE,6
18. AORE,6
18. AORE,2
18. AORE,5
18. AORE,3
18. AORE,3
18. AORE,4
18. AORE,0
18. AORE,8
18. AORE,5
18. AORE,4
18. AORE,6
18. AORE,3
18. AORE,8
18. AORE,10
18. AORE,4
18. AORE,8
18. AORE,3
18. AORE,5
18. AORE,4
18. AORE,5
20. BOKISSA,9
24. MALO,2
24. MALO,2
24. MALO,0
27. MAVEA,2
27. MAVEA,2
28. RATUA,3
28. RATUA,5
28. RATUA,2
28. RATUA,4
28. RATUA,0
28. RATUA,7
28. RATUA,7
28. RATUA,3
28. RATUA,5
28. RATUA,4
28. RATUA,4
28. RATUA,5
28. RATUA,0
28. RATUA,4
28. RATUA,1
28. RATUA,5
28. RATUA,0
29. SANTO,7
29. SANTO,3
29. SANTO,12
29. SANTO,6
29. SANTO,4
29. SANTO,0
29. SANTO,1
29. SANTO,5
29. SANTO,5
29. SANTO,2
29. SANTO,2
29. SANTO,10
29. SANTO,5
29. SANTO,6
29. SANTO,5
29. SANTO,7
29. SANTO,4
29. SANTO,4
29. SANTO,2
29. SANTO,2
29. SANTO,2
29. SANTO,11
29. SANTO,3
29. SANTO,0
29. SANTO,12
29. SANTO,5
29. SANTO,0
29. SANTO,4
29. SANTO,6
29. SANTO,7
29. SANTO,3
29. SANTO,5
29. SANTO,6
29. SANTO,6
29. SANTO,7
29. SANTO,7
29. SANTO,180
29. SANTO,13
29. SANTO,1
29. SANTO,1
29. SANTO,1
29. SANTO,5
29. SANTO,7
29. SANTO,3
29. SANTO,3
29. SANTO,8
29. SANTO,2
29. SANTO,0
29. SANTO,0
29. SANTO,5
29. SANTO,17
29. SANTO,3
29. SANTO,8
29. SANTO,9
29. SANTO,5
29. SANTO,2
29. SANTO,7
29. SANTO,6
29. SANTO,3
29. SANTO,2
29. SANTO,5
29. SANTO,3
29. SANTO,0
29. SANTO,8
29. SANTO,2
29. SANTO,7
29. SANTO,5
29. SANTO,5
29. SANTO,1
29. SANTO,2
29. SANTO,2
29. SANTO,6
29. SANTO,0
29. SANTO,3
29. SANTO,0
29. SANTO,7
29. SANTO,0
29. SANTO,1
29. SANTO,6
29. SANTO,7
29. SANTO,5
29. SANTO,4
29. SANTO,5
29. SANTO,5
29. SANTO,5
29. SANTO,8
29. SANTO,6
29. SANTO,2
29. SANTO,2
29. SANTO,4
29. SANTO,8
29. SANTO,80
29. SANTO,80
29. SANTO,3
29. SANTO,5
29. SANTO,6
29. SANTO,1
29. SANTO,6
29. SANTO,5
29. SANTO,2
29. SANTO,0
29. SANTO,2
29. SANTO,16
29. SANTO,16
29. SANTO,13
29. SANTO,9
29. SANTO,15
29. SANTO,3
29. SANTO,8
29. SANTO,0
29. SANTO,4
29. SANTO,4
29. SANTO,0
29. SANTO,2
29. SANTO,12
29. SANTO,5
29. SANTO,4
29. SANTO,3
29. SANTO,2
29. SANTO,7
29. SANTO,9
29. SANTO,3
29. SANTO,30
29. SANTO,5
29. SANTO,2
29. SANTO,4
29. SANTO,30
29. SANTO,0
29. SANTO,10
29. SANTO,6
29. SANTO,6
29. SANTO,3
29. SANTO,4
29. SANTO,4
29. SANTO,9
29. SANTO,2
29. SANTO,7
29. SANTO,7
29. SANTO,0
29. SANTO,4
29. SANTO,4
29. SANTO,4
29. SANTO,5
29. SANTO,9
29. SANTO,9
29. SANTO,2
29. SANTO,9
29. SANTO,2
29. SANTO,5
29. SANTO,4
29. SANTO,4
29. SANTO,4
29. SANTO,6
29. SANTO,4
29. SANTO,4
29. SANTO,4
29. SANTO,2
29. SANTO,3
29. SANTO,4
29. SANTO,2
29. SANTO,0
29. SANTO,0
29. SANTO,2
29. SANTO,4
29. SANTO,2
29. SANTO,7
29. SANTO,3
29. SANTO,4
29. SANTO,5
29. SANTO,5
29. SANTO,6
29. SANTO,6
29. SANTO,7
29. SANTO,3
29. SANTO,3
29. SANTO,3
29. SANTO,6
29. SANTO,8
29. SANTO,4
29. SANTO,4
29. SANTO,7
29. SANTO,7
29. SANTO,6
29. SANTO,12
29. SANTO,4
29. SANTO,4
29. SANTO,7
29. SANTO,4
29. SANTO,7
29. SANTO,4
29. SANTO,1
29. SANTO,1
29. SANTO,5
29. SANTO,3
29. SANTO,3
29. SANTO,6
29. SANTO,8
29. SANTO,10
29. SANTO,7
29. SANTO,4
29. SANTO,5
29. SANTO,5
29. SANTO,4
29. SANTO,3
29. SANTO,16
29. SANTO,3
29. SANTO,8
29. SANTO,8
29. SANTO,5
29. SANTO,7
29. SANTO,10
29. SANTO,4
29. SANTO,40
29. SANTO,4
29. SANTO,7
29. SANTO,2
29. SANTO,3
29. SANTO,17
29. SANTO,5
29. SANTO,5
29. SANTO,1
29. SANTO,0
29. SANTO,0
29. SANTO,9
29. SANTO,1
29. SANTO,3
29. SANTO,10
29. SANTO,3
29. SANTO,6
29. SANTO,10
29. SANTO,5
29. SANTO,9
29. SANTO,5
29. SANTO,8
29. SANTO,9
29. SANTO,9
29. SANTO,8
29. SANTO,1
29. SANTO,9
29. SANTO,6
29. SANTO,5
29. SANTO,5
29. SANTO,4
29. SANTO,5
29. SANTO,4
29. SANTO,60
29. SANTO,3
29. SANTO,1
29. SANTO,80
29. SANTO,1
