IslandCode,IslandName,upsize_ts,Province,MainIsland
1,1. GAUA,,TORBA,OTHER ISLANDS
2,2. HIU,,TORBA,OTHER ISLANDS
3,3. KWAKEA,,TORBA,OTHER ISLANDS
4,4. LINUA,,TORBA,OTHER ISLANDS
5,5. LOH,,TORBA,OTHER ISLANDS
6,6. MERELAVA,,TORBA,OTHER ISLANDS
7,7. MERIG,,TORBA,OTHER ISLANDS
8,8. METOMA,,TORBA,OTHER ISLANDS
9,9. MOTA,,TORBA,OTHER ISLANDS
10,10. MOTALAVA,,TORBA,OTHER ISLANDS
11,11. RAH,,TORBA,OTHER ISLANDS
12,12. REEF,,TORBA,OTHER ISLANDS
13,13. TEGUA,,TORBA,OTHER ISLANDS
14,14. TOGA,,TORBA,OTHER ISLANDS
15,15. UREPARAPARA,,TORBA,OTHER ISLANDS
16,16. VANUALAVA,,TORBA,OTHER ISLANDS
17,17. AESE,,SANMA,OTHER ISLANDS
18,18. AORE,,SANMA,OTHER ISLANDS
19,19. ARAKI,,SANMA,OTHER ISLANDS
20,20. BOKISSA,,SANMA,OTHER ISLANDS
21,21. LATARO,,SANMA,OTHER ISLANDS
22,22. LATAROA,,SANMA,OTHER ISLANDS
23,23. LATHI (SAKAO),,SANMA,OTHER ISLANDS
24,24. MALO,,SANMA,OTHER ISLANDS
25,25. MALOKILIKILI,,SANMA,OTHER ISLANDS
26,26. MALPARAVU/OYSTER,,SANMA,OTHER ISLANDS
27,27. MAVEA,,SANMA,OTHER ISLANDS
28,28. RATUA,,SANMA,OTHER ISLANDS
29,29. SANTO,,SANMA,SANTO
30,30. TANGOA,,SANMA,OTHER ISLANDS
31,31. TUTUBA,,SANMA,OTHER ISLANDS
32,32. URELAPA,,SANMA,OTHER ISLANDS
33,33. VENUI/FIRST POINT,,SANMA,OTHER ISLANDS
34,34. AMBAE,,PENAMA,OTHER ISLANDS
35,35. MAEWO,,PENAMA,OTHER ISLANDS
36,36. PENTECOST,,PENAMA,PENTECOST
37,37. AKHAMB,,MALAMPA,OTHER ISLANDS
38,38. AMBRYM,,MALAMPA,AMBRYM
39,39. ARSEO,,MALAMPA,OTHER ISLANDS
40,40. ATCHIN,,MALAMPA,OTHER ISLANDS
41,41. AVOCK,,MALAMPA,OTHER ISLANDS
42,42. KHOTI (SAKAO),,MALAMPA,OTHER ISLANDS
43,43. LIVGHOS,,MALAMPA,OTHER ISLANDS
44,44. LOPEVI,,MALAMPA,OTHER ISLANDS
45,45. MALEKULA,,MALAMPA,MALEKULA
46,46. MASKELYNES,,MALAMPA,OTHER ISLANDS
47,47. NIVOKU,,MALAMPA,OTHER ISLANDS
48,48. NORSUP,,MALAMPA,OTHER ISLANDS
49,49. PAAMA,,MALAMPA,OTHER ISLANDS
50,50. PESKARUS,,MALAMPA,OTHER ISLANDS
51,51. RANO,,MALAMPA,OTHER ISLANDS
52,52. SAKAO,,MALAMPA,OTHER ISLANDS
53,53. TOMMAN,,MALAMPA,OTHER ISLANDS
54,54. URI,,MALAMPA,OTHER ISLANDS
55,55. URIPIV,,MALAMPA,OTHER ISLANDS
56,56. VAO,,MALAMPA,OTHER ISLANDS
57,57. WALA,,MALAMPA,OTHER ISLANDS
58,58. BUNINGA,,SHEFA,EFATE & OFFSHORE ISLANDS
59,59. EFATE,,SHEFA,EFATE & OFFSHORE ISLANDS
60,60. EMAE,,SHEFA,EFATE & OFFSHORE ISLANDS
61,61. EMAU,,SHEFA,EFATE & OFFSHORE ISLANDS
62,62. EPI,,SHEFA,EFATE & OFFSHORE ISLANDS
63,63. ERAKOR,,SHEFA,EFATE & OFFSHORE ISLANDS
64,64. HIDEAWAY,,SHEFA,EFATE & OFFSHORE ISLANDS
65,65. IFIRA,,SHEFA,EFATE & OFFSHORE ISLANDS
66,66. KAKULA,,SHEFA,EFATE & OFFSHORE ISLANDS
67,67. LAMEN,,SHEFA,EFATE & OFFSHORE ISLANDS
68,68. LELEPA,,SHEFA,EFATE & OFFSHORE ISLANDS
69,69. MAKIRA,,SHEFA,EFATE & OFFSHORE ISLANDS
70,70. MATASO/MATAH ALAM,,SHEFA,EFATE & OFFSHORE ISLANDS
71,71. MOSO,,SHEFA,EFATE & OFFSHORE ISLANDS
72,72. NGUNA,,SHEFA,EFATE & OFFSHORE ISLANDS
73,73. PELE,,SHEFA,EFATE & OFFSHORE ISLANDS
74,74. TONGARIKI,,SHEFA,EFATE & OFFSHORE ISLANDS
75,75. TONGOA,,SHEFA,EFATE & OFFSHORE ISLANDS
76,76. ANEITYUM,,TAFEA,OTHER ISLANDS
77,77. ANIWA,,TAFEA,OTHER ISLANDS
78,78. ERROMANGO,,TAFEA,OTHER ISLANDS
79,79. FUTUNA,,TAFEA,OTHER ISLANDS
80,80. TANNA,,TAFEA,TANNA
81,81. LEMBONG,,TAFEA,OTHER ISLANDS
82,82. IRIRIKI,,TAFEA,EFATE & OFFSHORE ISLANDS
